event_date,ota,hotel_name,location,room_type,prices
2024-08-25,jalan,京王プレリアホテル札幌,北海道／北大・丘珠,部屋タイプ,5520
2024-08-25,jalan,京王プレリアホテル札幌,北海道／北大・丘珠,スタンダードツインルーム,5520
2024-08-25,jalan,京王プレリアホテル札幌,北海道／北大・丘珠,モデレートツインルーム,5520
2024-08-25,jalan,京王プレリアホテル札幌,北海道／北大・丘珠,モデレートコーナーツイン,5520
2024-08-25,jalan,京王プレリアホテル札幌,北海道／北大・丘珠,スーペリアツインルーム,5520
2024-08-25,jalan,京王プレリアホテル札幌,北海道／北大・丘珠,スーペリアコーナーツインルーム,5520
2024-08-25,jalan,京王プレリアホテル札幌,北海道／北大・丘珠,スーペリアダブルルーム,5520
2024-08-25,jalan,京王プレリアホテル札幌,北海道／北大・丘珠,コンフォートダブルルーム,5520
2024-08-25,jalan,京王プレリアホテル札幌,北海道／北大・丘珠,コンフォートツインルーム,5520
2024-08-25,jalan,京王プレリアホテル札幌,北海道／北大・丘珠,プレミアダブルルーム,5520
2024-08-25,jalan,京王プレリアホテル札幌,北海道／北大・丘珠,ユニバーサルルーム,5520
2024-08-25,jalan,札幌プリンスホテル,北海道／ススキノ・大通,部屋タイプ,4545
2024-08-25,jalan,札幌プリンスホテル,北海道／ススキノ・大通,ロイヤルスイートルーム/ロイヤルフロア,4545
2024-08-25,jalan,札幌プリンスホテル,北海道／ススキノ・大通,スイートルーム/ロイヤルフロア,4545
2024-08-25,jalan,札幌プリンスホテル,北海道／ススキノ・大通,デラックスツインルーム/ロイヤルフロア,4545
2024-08-25,jalan,札幌プリンスホテル,北海道／ススキノ・大通,デラックスダブルルーム/ロイヤルフロア,4545
2024-08-25,jalan,札幌プリンスホテル,北海道／ススキノ・大通,スーペリアツインルーム/14～21F,4545
2024-08-25,jalan,札幌プリンスホテル,北海道／ススキノ・大通,スーペリアトリプルルーム/14・15F,4545
2024-08-25,jalan,札幌プリンスホテル,北海道／ススキノ・大通,スタンダードツイン/5～12F,4545
